_row_idx,task,prefill_time,decode_time,total_time,prompt_tokens,completion_tokens,total_tokens
216,CREATION,0.008404068648815155,5.776617985218763,5.7850220538675785,312,1310,1622
217,CREATION,0.007325656712055206,4.538896268233657,4.546221924945712,174,1036,1210
218,CREATION,0.008366987109184265,4.607754874974489,4.6161218620836735,314,1048,1362
219,CREATION,0.008394569158554077,6.223740542307496,6.23213511146605,350,1409,1759
220,CREATION,0.008605588227510452,5.424675937741995,5.433281525969505,278,1232,1510
221,CREATION,0.00893445685505867,5.5336160864681005,5.542550543323159,269,1257,1526
222,CREATION,0.008966980502009392,7.087692491710186,7.096659472212195,240,1605,1845
223,CREATION,0.00860167108476162,5.686791677027941,5.695393348112702,273,1291,1564
224,CREATION,0.009193411096930504,4.780816689133644,4.790010100230575,232,1089,1321
225,CREATION,0.009026836603879929,5.02989443577826,5.03892127238214,241,1145,1386
226,CREATION,0.008997924625873566,5.089868126437068,5.0988660510629416,259,1158,1417
227,CREATION,0.008516112342476845,6.116266088560224,6.1247822009027,308,1386,1694
228,CREATION,0.009041020646691322,5.050460955128074,5.059501975774765,254,1149,1403
229,CREATION,0.008726311847567558,5.50238636508584,5.511112676933408,261,1250,1511
230,CREATION,0.008935043588280678,6.219634111970663,6.228569155558944,253,1411,1664
231,CREATION,0.008395655080676079,5.862310716882348,5.870706371963024,307,1329,1636
232,CREATION,0.00930638425052166,5.440646743401885,5.449953127652407,247,1237,1484
233,CREATION,0.008541775867342949,5.425909096375108,5.434450872242451,293,1232,1525
234,CREATION,0.008663482964038849,5.486302873119712,5.494966356083751,268,1246,1514
235,CREATION,0.009199528023600578,6.363580487668514,6.372780015692115,226,1444,1670
236,CREATION,0.007187521085143089,6.19743656180799,6.204624082893133,212,1407,1619
237,CREATION,0.008862892165780067,5.355395732447505,5.364258624613285,261,1217,1478
238,CREATION,0.008422845974564552,7.161764673888683,7.170187519863248,291,1620,1911
239,CREATION,0.008514806628227234,5.742390578612685,5.750905385240912,292,1303,1595
240,CREATION,0.008388204500079155,5.3004440274089575,5.308832231909037,331,1203,1534
241,CREATION,0.008357712998986244,6.3440710082650185,6.352428721264005,314,1437,1751
242,CREATION,0.009017879143357277,8.107520621269941,8.116538500413299,230,1832,2062
243,CREATION,0.011247491464018822,5.833186199888587,5.844433691352606,377,1321,1698
244,CREATION,0.008837180212140083,6.378937486559153,6.387774666771293,272,1446,1718
245,CREATION,0.007131166756153107,6.183781463652849,6.190912630409002,210,1404,1614
246,CREATION,0.011635664850473404,6.046687729656696,6.05832339450717,368,1369,1737
247,CREATION,0.008846119046211243,6.290317380800843,6.2991634998470545,243,1427,1670
248,CREATION,0.007042640820145607,6.478552363812923,6.485595004633069,153,1472,1625
